Time,bit-x,bitfinex,bitstamp,btce,coinbase,gemini,kraken,mtgox,okcoin,others
2012-01-01 00:00:00 UTC,,,2019.92043589,,,,,3209270.35061402,,12208.1330098
2012-02-01 00:00:00 UTC,,,4797.17384082,,,,,2838891.61464015,,12052.01984012
2012-03-01 00:00:00 UTC,,,9012.29025792001,,,,,1758077.43227241,,16536.02370315
2012-04-01 00:00:00 UTC,,,16479.77403691,,,,,1655693.60464133,,19876.59731658
2012-05-01 00:00:00 UTC,,,18860.17315098,,,,,1244361.73558852,,41127.23000718
2012-06-01 00:00:00 UTC,,,63386.90022916,,,,,1376573.77321642,,56326.93211568
2012-07-01 00:00:00 UTC,,,50704.10082875,23133.48542344,,,,1902113.4410817,,84574.65121875
2012-08-01 00:00:00 UTC,,,83271.78662875,33057.13661908,,,,2448351.39108954,,110644.059427
2012-09-01 00:00:00 UTC,,,55624.06465202,2826.09490522,,,,959781.282070339,,30483.62615538
2012-10-01 00:00:00 UTC,,,83766.9314063501,15099.99434906,,,,1154902.08215279,,45215.29909756
2012-11-01 00:00:00 UTC,,,88482.1904883201,106131.91129079,,,,804191.701497751,,26567.51537035
2012-12-01 00:00:00 UTC,,,91543.25000363,73776.31568302,,,,876916.174321931,,30710.04840468
2013-01-01 00:00:00 UTC,,,124203.114581,95993.3275037,,,,1455182.66102446,,46505.27499297
2013-02-01 00:00:00 UTC,,,120080.52624617,78049.47443756,,,,1575229.03764877,,44313.90380995
2013-03-01 00:00:00 UTC,,61305.9019795,177213.76542955,121550.903244,,,,2058510.734376,,80882.01887512
2013-04-01 00:00:00 UTC,,398067.27700542,420538.38184416,599589.848730271,,,,4725033.73624406,,187257.4145017
2013-05-01 00:00:00 UTC,,243951.3412451,297241.54288896,261547.23032837,,,,2069391.38901193,,32993.2356548
2013-06-01 00:00:00 UTC,,127105.48784731,243490.00753241,139286.80797452,,,,1046481.48451368,,32891.84844047
2013-07-01 00:00:00 UTC,,166897.27736797,416702.74977898,185431.46190892,,,,1124882.20193906,,48810.61001455
2013-08-01 00:00:00 UTC,,131902.78184768,330375.87334808,98033.12150304,,,,577217.3850258,,56831.69404632
2013-09-01 00:00:00 UTC,,108619.73023121,303948.72556265,98932.3480433499,,,,421360.927851461,,56742.84174614
2013-10-01 00:00:00 UTC,,324327.86218018,582412.100068619,283285.682462219,,,465.70609345,727469.310220551,,55537.77810564
2013-11-01 00:00:00 UTC,,481914.801654561,964613.286787319,639121.45158248,,,1007.82174859,1083534.08907537,,34978.6258199
2013-12-01 00:00:00 UTC,,542655.462553201,946906.053908439,783237.414045983,,,1381.57744386,942385.483451681,,44516.690574781
2014-01-01 00:00:00 UTC,,302141.34389555,443571.215942959,398564.571486309,,,724.17891552,295568.24972256,,44451.71770157
2014-02-01 00:00:00 UTC,,606403.22180853,824551.402165422,503845.053772201,,,872.087452659999,985038.608581531,,23435.38270719
2014-03-01 00:00:00 UTC,,380091.47483896,493391.61684327,276558.39982627,,,422.72248049,,,115249.54368842
2014-04-01 00:00:00 UTC,,433927.211161261,515927.57639075,418395.61321548,,,417.07689885,,,211453.04279272
2014-05-01 00:00:00 UTC,,259639.15887623,297268.56095598,178157.62303898,,,292.41332874,,,172379.33713225
2014-06-01 00:00:00 UTC,,354190.51030868,289718.28641985,182163.72805126,,,452.66082143,,,223461.5989707
2014-07-01 00:00:00 UTC,,158002.70311825,153824.49035477,95743.98112128,,,196.5461346,,1379.191,194801.13182893
2014-08-01 00:00:00 UTC,,362044.27874483,315107.26545694,153815.65801525,,,295.47553562,,20950.474,200548.68014286
2014-09-01 00:00:00 UTC,,392789.90864222,345104.08492015,149610.29021964,,,137.7794858,,132902.613,272124.98049577
2014-10-01 00:00:00 UTC,517.31605494,857821.630537372,597418.1470032,251356.32349297,,,338.21461317,,368751.183,351819.338900295
2014-11-01 00:00:00 UTC,507.47524338,955828.031643099,439244.6250198,243102.5138876,,,585.30907264,,473804.62,275221.88818591
2014-12-01 00:00:00 UTC,616.461015590001,527554.39398354,295639.89341796,159244.41662826,21.04676396,,304.7474844,,414993.414,267190.21190655
2015-01-01 00:00:00 UTC,524.7661542,2054762.96101356,786633.026379871,537647.54275877,31755.80113242,,1485.56916083,,581070.825,380688.2821317
2015-02-01 00:00:00 UTC,641.34649064,1129858.87265137,342730.28347832,308423.54592491,266207.30466607,,612.79665273,,610206.772,336660.45983032
2015-03-01 00:00:00 UTC,3029.98509976,1239084.88798128,297214.48881917,314779.08238157,327850.703902019,,584.237104859999,,722237.688000001,352810.87909787
2015-04-01 00:00:00 UTC,2016.73145763,733206.86569282,244921.33490548,277862.319134511,222424.98068015,,722.10522069,,523236.793,338308.15145319
2015-05-01 00:00:00 UTC,4326.13196172,476461.52112814,136316.14048679,163475.39315736,207370.21140772,,631.52045952,,443503.747,279381.76890327
2015-06-01 00:00:00 UTC,14120.71694773,592029.991937201,222562.12948272,221677.41452561,192388.126270519,,1129.72960127,,353095.644,361032.72484043
2015-07-01 00:00:00 UTC,43578.5785679001,825955.628344931,396686.36171248,281054.36405939,215517.523741209,,1659.21653839,,288405.298,526158.82972629
2015-08-01 00:00:00 UTC,180772.46396919,707267.481381139,418868.93937083,207512.9612264,224130.33925749,,4935.86749297999,,467624.044000001,501793.06044314
2015-09-01 00:00:00 UTC,170539.19417772,296294.18999039,569532.57645371,192957.40093963,191596.07796746,,3578.0138919,,211939.403999999,554537.35854647
2015-10-01 00:00:00 UTC,167590.45564395,568317.21742606,716414.503245241,245569.294512759,243366.90666759,10389.9091859041,3180.50404029,,281303.990999999,615451.78848587
2015-11-01 00:00:00 UTC,180813.81521972,1638014.11041357,887623.84632671,449887.830352102,374744.436255349,28931.1326624949,3656.98672126,,702402.873,681702.17762929
2015-12-01 00:00:00 UTC,185694.88767359,1154275.86559462,418827.19556416,301289.87909344,450467.871561409,14903.6259356741,6030.28200781,,731952.806,477213.480734256
2016-01-01 00:00:00 UTC,541001.87483314,893544.90337623,289462.53606115,228989.3486741,253215.10515111,29623.2421461246,8373.85973144,,613024.151000001,376957.344124599
2016-02-01 00:00:00 UTC,1792575.28951546,643383.6576526,216410.7987479,193052.05434325,206238.077982599,28960.8283983359,20421.64760942,,505217.005999999,360971.969097698
2016-03-01 00:00:00 UTC,240151.77888334,416438.885599381,156279.18938647,175246.4252453,212051.057262299,41145.4586859179,59508.44266484,,394123.907999999,352612.421115732
2016-04-01 00:00:00 UTC,205715.60763083,366066.76801092,121556.10324528,182347.12163673,171621.09496971,37409.818771504,29678.39493823,,224980.921,283938.6180417
2016-05-01 00:00:00 UTC,70207.686,604055.321059602,137084.98886201,187804.33040844,187345.836160939,32537.3985093962,43073.93648899,,240612.226999999,256867.1164416
2016-06-01 00:00:00 UTC,228984.883999999,1677574.53640728,285642.2833235,247286.553309119,303001.857052139,60017.1921076262,96953.39714242,,370411.008999999,508277.32823736
2016-07-01 00:00:00 UTC,223509.248,668094.8137598,118854.50062206,149790.10788765,187698.70590431,30530.5720627519,36871.94314793,,139537.719,433282.33087437
2016-08-01 00:00:00 UTC,76418.444,188031.63262607,147410.38106665,219604.91392929,166621.30418951,35594.9865415073,41033.5366887901,,110821.896,370635.64765655
2016-09-01 00:00:00 UTC,19712.812,129753.78762195,91385.08092682,128786.2283924,120265.65183971,49684.8131956272,20072.09538145,,73877.276,284128.13344443
2016-10-01 00:00:00 UTC,,195726.51232612,101109.6359615,120747.20553381,129404.77171326,72103.3730974148,28425.46714261,,66962.307,225323.88514902
